date,festival,product,category,price,units_sold,revenue
25-12-2020,New Year,Bottle Opener,Festival,820,126,86051
25-12-2020,New Year,Bracelet,Festival,653,208,136943
25-12-2020,New Year,Cake,Festival,838,1594,1332038
25-12-2020,New Year,Candles,Festival,570.75,365,211794
25-12-2020,New Year,Chocolates,Festival,935.6,1795,1749641
25-12-2020,New Year,Confetti,Festival,756.7272727,2112,1640594
25-12-2020,New Year,Gift Box,Festival,1135.384615,2327,2699689
25-12-2020,New Year,LED Lights,Festival,883.6,3419,3031868
25-12-2020,New Year,Lights,Festival,803.6666667,96,79798
25-12-2020,New Year,Music Player,Festival,555.5,458,229277
25-12-2020,New Year,Noise Maker,Festival,826.8333333,982,889376
25-12-2020,New Year,Notebook,Festival,747.875,612,470765
25-12-2020,New Year,Party Decor,Festival,732.2,1792,1342348
25-12-2020,New Year,Party Hat,Festival,696.25,345,215903
25-12-2020,New Year,Photo Frame,Festival,484.5,370,179223
25-12-2020,New Year,Smart Watch,Festival,959.4444444,1641,1505634
25-12-2020,New Year,Snacks,Festival,708.2857143,437,298745
25-12-2020,New Year,Soft Toy,Festival,568,134,76784
25-12-2020,New Year,Sunglasses,Festival,871.8,976,833092
25-12-2020,New Year,Wine,Festival,769.4,984,793623
26-12-2020,New Year,Bottle Opener,Festival,647.125,482,278246
26-12-2020,New Year,Bracelet,Festival,634.6,376,284885
26-12-2020,New Year,Cake,Festival,693.6923077,3028,2297383
26-12-2020,New Year,Candles,Festival,754.8333333,421,326907
26-12-2020,New Year,Chocolates,Festival,867.7,1671,1375226
26-12-2020,New Year,Confetti,Festival,840.5714286,1380,1282096
26-12-2020,New Year,Gift Box,Festival,851.8333333,1389,1289494
26-12-2020,New Year,LED Lights,Festival,1055.769231,2686,2870497
26-12-2020,New Year,Lights,Festival,659,223,149789
26-12-2020,New Year,Music Player,Festival,647.5,477,275640
26-12-2020,New Year,Noise Maker,Festival,757.7857143,3357,2574202
26-12-2020,New Year,Notebook,Festival,648.8571429,544,350279
26-12-2020,New Year,Party Decor,Festival,1029.384615,2331,2296217
26-12-2020,New Year,Party Hat,Festival,709.6666667,524,356066
26-12-2020,New Year,Photo Frame,Festival,964.3333333,505,478952
26-12-2020,New Year,Smart Watch,Festival,974,1646,1583901
26-12-2020,New Year,Snacks,Festival,683.5,447,315617
26-12-2020,New Year,Soft Toy,Festival,790.25,345,242067
26-12-2020,New Year,Sunglasses,Festival,851.5833333,2495,2228361
26-12-2020,New Year,Wine,Festival,739.7272727,2646,1902913
27-12-2020,New Year,Bottle Opener,Festival,636.5714286,527,352766
27-12-2020,New Year,Bracelet,Festival,479.5714286,374,173923
27-12-2020,New Year,Cake,Festival,752.1111111,2079,1665526
27-12-2020,New Year,Candles,Festival,749,145,124359
27-12-2020,New Year,Chocolates,Festival,596,843,573786
27-12-2020,New Year,Confetti,Festival,950.8888889,2335,2224872
27-12-2020,New Year,Gift Box,Festival,908.5,2368,2176176
27-12-2020,New Year,LED Lights,Festival,727.4615385,2907,2177763
27-12-2020,New Year,Lights,Festival,712.6666667,215,142290
27-12-2020,New Year,Music Player,Festival,981.75,496,485758
27-12-2020,New Year,Noise Maker,Festival,1018.8,1354,1329172
27-12-2020,New Year,Notebook,Festival,582.1428571,427,257509
27-12-2020,New Year,Party Decor,Festival,732,2310,1562453
27-12-2020,New Year,Party Hat,Festival,595.6666667,233,134060
27-12-2020,New Year,Photo Frame,Festival,595.5714286,419,269100
27-12-2020,New Year,Smart Watch,Festival,770,2467,1917870
27-12-2020,New Year,Snacks,Festival,641.4,353,234187
27-12-2020,New Year,Soft Toy,Festival,658.5,258,188394
27-12-2020,New Year,Sunglasses,Festival,878.8181818,2598,2322541
27-12-2020,New Year,Wine,Festival,862.8,1419,1152784
28-12-2020,New Year,Bottle Opener,Festival,532,188,85956
28-12-2020,New Year,Bracelet,Festival,547.7142857,556,326786
28-12-2020,New Year,Cake,Festival,744.2,2326,1809695
28-12-2020,New Year,Candles,Festival,776.2857143,621,503154
28-12-2020,New Year,Chocolates,Festival,1007.357143,4111,4150516
28-12-2020,New Year,Confetti,Festival,662.5714286,1569,1114209
28-12-2020,New Year,Gift Box,Festival,951.7777778,2197,1960306
28-12-2020,New Year,LED Lights,Festival,1071.2,1134,1311325
28-12-2020,New Year,Lights,Festival,469.5,346,147344
28-12-2020,New Year,Music Player,Festival,581.75,161,104262
28-12-2020,New Year,Noise Maker,Festival,735.9090909,2478,1859612
28-12-2020,New Year,Notebook,Festival,511.25,385,216668
28-12-2020,New Year,Party Decor,Festival,923.7857143,3108,2889561
28-12-2020,New Year,Party Hat,Festival,342,422,167009
28-12-2020,New Year,Photo Frame,Festival,699.6,448,334192
28-12-2020,New Year,Smart Watch,Festival,929.25,2749,2546621
28-12-2020,New Year,Snacks,Festival,633.3333333,413,281255
28-12-2020,New Year,Soft Toy,Festival,524.4,434,232529
28-12-2020,New Year,Sunglasses,Festival,662.875,1846,1228376
28-12-2020,New Year,Wine,Festival,578.25,2114,1314832
29-12-2020,New Year,Bottle Opener,Festival,547,192,147296
29-12-2020,New Year,Bracelet,Festival,616,571,371357
29-12-2020,New Year,Cake,Festival,848.2857143,3876,3214116
29-12-2020,New Year,Candles,Festival,579.2857143,501,297569
29-12-2020,New Year,Chocolates,Festival,767.7,2724,2109684
29-12-2020,New Year,Confetti,Festival,883.2857143,3389,2945591
29-12-2020,New Year,Gift Box,Festival,655.3333333,1579,1011198
29-12-2020,New Year,LED Lights,Festival,800.6363636,3098,2419789
29-12-2020,New Year,Lights,Festival,783.8333333,475,357388
29-12-2020,New Year,Music Player,Festival,589,567,310488
29-12-2020,New Year,Noise Maker,Festival,861.5555556,2052,1563453
29-12-2020,New Year,Notebook,Festival,593.75,337,183593
29-12-2020,New Year,Party Decor,Festival,744,1100,757558
29-12-2020,New Year,Party Hat,Festival,751.2857143,455,323072
29-12-2020,New Year,Photo Frame,Festival,578.1666667,380,240892
29-12-2020,New Year,Smart Watch,Festival,889.2142857,3738,3360556
29-12-2020,New Year,Snacks,Festival,799.6666667,285,212113
29-12-2020,New Year,Soft Toy,Festival,740.25,209,148574
29-12-2020,New Year,Sunglasses,Festival,1236.857143,1834,2288528
29-12-2020,New Year,Wine,Festival,825.3846154,3933,3363303
30-12-2020,New Year,Bottle Opener,Festival,616.875,552,372047
30-12-2020,New Year,Bracelet,Festival,559,235,125563
30-12-2020,New Year,Cake,Festival,825.4,4322,3719499
30-12-2020,New Year,Candles,Festival,893.5,279,270085
30-12-2020,New Year,Chocolates,Festival,739.2,1571,1336000
