date,festival,season
2/10/2026,Dussehra,Autumn
20/10/2026,Diwali,Autumn
25/12/2026,Christmas,Winter
14/01/2026,Makar Sankranti,Winter
26/01/2026,Republic Day,Winter
15/08/2026,Independence Day,Monsoon
30/08/2026,Ganesh Chaturthi,Monsoon
2/11/2026,Bhai Dooj,Autumn
13/11/2026,Children's Day,Autumn
8/3/2026,Holi,Spring
21/06/2026,International Yoga Day,Summer
2/10/2027,Dussehra,Autumn
20/10/2027,Diwali,Autumn
25/12/2027,Christmas,Winter
14/01/2027,Makar Sankranti,Winter
26/01/2027,Republic Day,Winter
15/08/2027,Independence Day,Monsoon
30/08/2027,Ganesh Chaturthi,Monsoon
2/11/2027,Bhai Dooj,Autumn
13/11/2027,Children's Day,Autumn
8/3/2027,Holi,Spring
21/06/2027,International Yoga Day,Summer
2/10/2028,Dussehra,Autumn
20/10/2028,Diwali,Autumn
25/12/2028,Christmas,Winter
14/01/2028,Makar Sankranti,Winter
26/01/2028,Republic Day,Winter
15/08/2028,Independence Day,Monsoon
30/08/2028,Ganesh Chaturthi,Monsoon
2/11/2028,Bhai Dooj,Autumn
13/11/2028,Children's Day,Autumn
8/3/2028,Holi,Spring
21/06/2028,International Yoga Day,Summer
2/10/2029,Dussehra,Autumn
20/10/2029,Diwali,Autumn
25/12/2029,Christmas,Winter
14/01/2029,Makar Sankranti,Winter
26/01/2029,Republic Day,Winter
15/08/2029,Independence Day,Monsoon
30/08/2029,Ganesh Chaturthi,Monsoon
2/11/2029,Bhai Dooj,Autumn
13/11/2029,Children's Day,Autumn
8/3/2029,Holi,Spring
21/06/2029,International Yoga Day,Summer
2/10/2030,Dussehra,Autumn
20/10/2030,Diwali,Autumn
25/12/2030,Christmas,Winter
14/01/2030,Makar Sankranti,Winter
26/01/2030,Republic Day,Winter
15/08/2030,Independence Day,Monsoon
30/08/2030,Ganesh Chaturthi,Monsoon
2/11/2030,Bhai Dooj,Autumn
13/11/2030,Children's Day,Autumn
8/3/2030,Holi,Spring
21/06/2030,International Yoga Day,Summer
2/10/2031,Dussehra,Autumn
20/10/2031,Diwali,Autumn
25/12/2031,Christmas,Winter
14/01/2031,Makar Sankranti,Winter
26/01/2031,Republic Day,Winter
15/08/2031,Independence Day,Monsoon
30/08/2031,Ganesh Chaturthi,Monsoon
2/11/2031,Bhai Dooj,Autumn
13/11/2031,Children's Day,Autumn
8/3/2031,Holi,Spring
21/06/2031,International Yoga Day,Summer
2/10/2032,Dussehra,Autumn
20/10/2032,Diwali,Autumn
25/12/2032,Christmas,Winter
14/01/2032,Makar Sankranti,Winter
26/01/2032,Republic Day,Winter
15/08/2032,Independence Day,Monsoon
30/08/2032,Ganesh Chaturthi,Monsoon
2/11/2032,Bhai Dooj,Autumn
13/11/2032,Children's Day,Autumn
8/3/2032,Holi,Spring
21/06/2032,International Yoga Day,Summer
2/10/2033,Dussehra,Autumn
20/10/2033,Diwali,Autumn
25/12/2033,Christmas,Winter
14/01/2033,Makar Sankranti,Winter
26/01/2033,Republic Day,Winter
15/08/2033,Independence Day,Monsoon
30/08/2033,Ganesh Chaturthi,Monsoon
2/11/2033,Bhai Dooj,Autumn
13/11/2033,Children's Day,Autumn
8/3/2033,Holi,Spring
21/06/2033,International Yoga Day,Summer
2/10/2034,Dussehra,Autumn
20/10/2034,Diwali,Autumn
25/12/2034,Christmas,Winter
14/01/2034,Makar Sankranti,Winter
26/01/2034,Republic Day,Winter
15/08/2034,Independence Day,Monsoon
30/08/2034,Ganesh Chaturthi,Monsoon
2/11/2034,Bhai Dooj,Autumn
13/11/2034,Children's Day,Autumn
8/3/2034,Holi,Spring
21/06/2034,International Yoga Day,Summer
2/10/2035,Dussehra,Autumn
20/10/2035,Diwali,Autumn
25/12/2035,Christmas,Winter
14/01/2035,Makar Sankranti,Winter
26/01/2035,Republic Day,Winter
15/08/2035,Independence Day,Monsoon
30/08/2035,Ganesh Chaturthi,Monsoon
2/11/2035,Bhai Dooj,Autumn
13/11/2035,Children's Day,Autumn
8/3/2035,Holi,Spring
21/06/2035,International Yoga Day,Summer
